Frota veiculos novembro 2020,,,,,,,,,,,,,,,,,,,,,,,
,,"  107,585,150 ",,,,,,,,,,,,,,,,,,,,,
UF,MUNICIPIO,TOTAL,AUTOMOVEL,BONDE,CAMINHAO,CAMINHAO TRATOR,CAMINHONETE,CAMIONETA,CHASSI PLATAF,CICLOMOTOR,MICRO-ONIBUS,MOTOCICLETA,MOTONETA,ONIBUS,QUADRICICLO,REBOQUE,SEMI-REBOQUE,SIDE-CAR,OUTROS,TRATOR ESTEI,TRATOR RODAS,TRICICLO,UTILITARIO
AL,MACEIO,362886,201400,0,7779,1269,24376,14438,17,5741,1266,80520,5760,2328,1,8680,3521,18,43,0,12,112,5605
AL,MAJOR ISIDORO,3576,1035,0,116,33,215,35,0,1,32,1828,104,30,0,64,68,0,0,0,0,0,15
AL,MAR VERMELHO,985,255,0,13,0,47,14,0,0,2,603,27,9,0,12,1,0,0,0,0,0,2
AL,MARAGOGI,4498,1983,0,98,1,350,180,0,110,159,1241,183,56,0,88,8,0,3,0,0,5,33
AL,MARAVILHA,2224,630,0,67,1,144,15,0,0,54,1213,38,13,0,40,8,0,1,0,0,0,0
AL,MARECHAL DEODORO,12864,6173,0,333,29,806,427,0,828,79,2937,254,198,0,488,127,0,2,0,0,14,169
AL,MARIBONDO,2946,1125,0,70,3,225,55,0,18,17,1155,81,19,0,135,34,0,0,0,0,0,9
AL,MATA GRANDE,4388,988,0,75,2,545,36,0,0,60,2483,116,27,0,40,11,0,0,0,0,0,5
AL,MATRIZ DE CAMARAGIBE,4151,1635,0,146,1,283,122,0,73,28,1429,78,142,0,160,37,0,0,0,0,2,15
AL,MESSIAS,2651,1071,0,73,6,141,80,0,26,44,978,69,90,0,52,13,0,0,0,0,0,8
AL,MINADOR DO NEGRAO,1379,396,0,62,0,101,5,0,0,17,753,12,9,0,15,5,0,0,0,0,0,4
AL,MONTEIROPOLIS,1194,320,0,28,0,102,2,0,0,12,679,32,6,0,11,2,0,0,0,0,0,0
AL,MURICI,4575,1391,0,148,8,235,78,0,33,28,2085,316,110,0,107,26,0,0,0,0,2,8
AL,NOVO LINO,1805,850,0,106,5,96,75,0,1,46,484,17,70,0,42,10,0,0,0,0,0,3
AL,OLHO D'AGUA DAS FLORES,5784,1793,0,150,8,463,79,0,8,98,2725,243,41,0,135,27,0,0,0,0,0,14
AL,OLHO D'AGUA DO CASADO,1665,545,0,36,1,115,7,0,6,17,864,44,12,0,12,5,0,0,0,0,0,1
AL,OLHO D'AGUA GRANDE,1034,267,0,16,0,45,6,0,0,3,621,52,14,0,9,1,0,0,0,0,0,0
AL,OLIVENCA,2582,714,0,69,0,141,23,0,1,37,1482,54,14,0,28,9,0,0,0,0,0,10
AL,OURO BRANCO,2860,854,0,111,12,194,39,0,0,56,1420,53,34,0,54,27,0,0,0,0,0,6
AL,PALESTINA,594,217,0,12,1,49,11,0,1,22,256,14,4,0,6,1,0,0,0,0,0,0
AL,PALMEIRA DOS INDIOS,25930,8898,0,660,49,1727,438,0,52,324,11224,1695,91,0,440,231,7,0,0,1,1,92
AL,PAO DE ACUCAR,3308,989,0,73,2,212,35,0,3,94,1606,215,17,0,46,4,0,0,0,0,3,9
AL,PARICONHA,2251,501,0,47,0,223,13,0,8,51,1328,49,13,0,11,3,0,0,0,0,1,3
AL,PARIPUEIRA,2361,1018,0,69,2,172,76,0,163,8,658,37,19,0,94,16,0,0,0,0,0,29
AL,PASSO DE CAMARAGIBE,1878,768,0,39,0,94,24,0,171,10,645,28,31,0,48,12,0,0,0,0,1,7
AL,PAULO JACINTO,1379,349,0,15,1,102,11,0,4,9,826,26,9,0,19,6,0,0,0,0,0,2
AL,PENEDO,18235,6177,0,302,18,1068,338,0,354,71,7327,1743,309,0,357,96,2,1,0,0,4,68
AL,PIACABUCU,2295,795,0,35,0,239,44,0,40,14,807,192,21,0,83,13,0,0,0,0,4,8
AL,PILAR,7803,3581,0,164,31,400,198,0,158,59,2150,586,103,0,290,47,0,0,0,4,2,30
AL,PINDOBA,436,103,0,8,0,35,4,0,0,2,268,3,5,0,8,0,0,0,0,0,0,0
AL,PIRANHAS,5565,1630,0,90,5,371,59,0,1,94,2982,244,20,0,48,6,0,1,0,0,2,12
AL,POCO DAS TRINCHEIRAS,2756,683,0,78,2,168,30,0,0,68,1594,54,25,0,34,16,0,0,0,0,0,4
AL,PORTO CALVO,5475,1924,0,228,10,266,189,0,32,128,2248,165,81,0,157,26,0,0,0,0,4,17
AL,PORTO DE PEDRAS,1412,540,0,28,0,73,19,0,73,12,564,46,10,0,36,3,0,0,0,0,1,7
AL,PORTO REAL DO COLEGIO,2354,738,0,36,2,126,26,0,1,35,1204,112,29,0,35,4,0,1,0,0,0,5
AL,QUEBRANGULO,2201,577,0,35,0,150,34,0,1,13,1284,54,18,0,22,11,0,0,0,0,0,2
AL,RIO LARGO,17943,8806,0,493,143,959,492,0,489,213,5045,256,234,0,467,268,4,0,0,0,8,66
AL,ROTEIRO,1018,426,0,15,1,64,45,0,14,22,356,17,11,0,29,13,0,0,0,0,0,5
AL,SANTA LUZIA DO NORTE,1268,638,0,25,0,62,28,0,32,3,374,12,47,0,36,7,0,0,0,0,0,4
AL,SANTANA DO IPANEMA,17032,4584,0,484,8,1046,177,0,8,262,9064,841,64,0,350,80,0,1,0,0,10,53
AL,SANTANA DO MUNDAU,2685,527,0,71,4,166,25,0,0,32,1659,116,16,0,42,20,0,0,0,0,0,7
AL,SAO BRAS,554,169,0,9,0,44,16,0,0,3,280,19,8,0,3,1,0,0,0,0,1,1
AL,SAO JOSE DA LAJE,4237,1459,0,142,1,210,80,0,15,74,1781,233,77,0,120,15,0,0,0,0,3,27
AL,SAO JOSE DA TAPERA,5703,1935,0,152,1,376,78,0,2,119,2638,232,48,0,87,23,0,0,0,0,3,9
AL,SAO LUIS DO QUITUNDE,5232,2017,0,242,9,299,82,0,69,31,1799,149,247,0,215,61,1,0,0,0,1,10
AL,SAO MIGUEL DOS CAMPOS,15893,5770,0,411,120,733,327,0,87,173,5834,1311,228,0,505,325,0,0,0,1,4,64
AL,SAO MIGUEL DOS MILAGRES,1695,671,0,28,0,141,40,0,97,3,566,89,7,0,33,9,0,1,0,0,0,10
AL,SAO SEBASTIAO,8343,2110,0,171,40,467,45,0,44,40,4012,936,202,0,185,80,0,0,0,0,2,9
AL,SATUBA,4205,2270,0,102,29,205,113,0,82,28,1133,59,26,0,102,47,0,0,0,0,0,9
AL,SENADOR RUI PALMEIRA,2182,552,0,48,0,189,23,0,1,33,1236,56,15,0,27,2,0,0,0,0,0,0
AL,TANQUE D'ARCA,1395,404,0,17,1,64,33,0,3,16,784,29,8,0,32,4,0,0,0,0,0,0
AL,TAQUARANA,4967,1242,0,125,6,315,52,0,3,72,2767,243,48,0,73,16,0,0,0,0,0,5
AL,TEOTONIO VILELA,8904,2672,0,203,47,429,123,1,157,77,3680,894,233,0,260,98,0,0,0,0,0,30
AL,TRAIPU,3528,775,0,103,2,179,20,0,0,17,2246,128,28,0,24,3,0,0,0,0,0,3
AL,UNIAO DOS PALMARES,18309,5188,0,550,23,1054,271,0,188,315,9164,828,259,0,340,81,0,0,0,0,3,45
AL,VICOSA,6105,1866,0,137,9,358,105,0,9,30,3218,153,53,0,114,31,2,0,0,0,0,20
AM,ALVARAES,746,17,0,11,0,32,1,0,0,0,479,181,3,0,0,0,0,0,0,0,22,0
AM,AMATURA,324,5,0,7,0,14,2,0,0,1,191,101,1,0,2,0,0,0,0,0,0,0
AM,ANAMA,202,11,0,1,0,7,0,0,2,1,138,36,5,0,0,0,0,0,0,0,1,0
AM,ANORI,522,25,0,16,2,41,2,0,0,3,317,111,3,0,0,1,0,0,0,0,1,0
AM,APUI,4049,397,0,193,15,605,33,0,0,3,2136,573,35,0,16,30,0,0,0,0,3,10
AM,ATALAIA DO NORTE,516,20,0,3,0,33,5,0,0,1,282,171,1,0,0,0,0,0,0,0,0,0
AM,AUTAZES,2196,259,0,54,0,154,31,0,3,8,1207,430,28,0,2,0,0,0,0,0,16,4
AM,BARCELOS,1136,117,0,15,0,74,14,0,1,3,626,279,0,0,1,0,0,0,0,0,4,2
AM,BARREIRINHA,679,10,0,9,0,25,2,0,0,1,432,187,6,0,0,1,0,0,0,0,5,1
AM,BENJAMIN CONSTANT,1773,66,0,22,0,49,16,0,0,5,931,672,5,0,0,0,0,0,0,0,5,2
AM,BERURI,428,23,0,10,0,35,1,0,0,0,271,86,0,0,0,1,0,0,0,0,1,0
AM,BOA VISTA DO RAMOS,458,11,0,3,0,17,1,0,1,0,341,81,1,0,0,0,0,0,0,0,2,0
AM,BOCA DO ACRE,3466,568,0,69,14,205,22,1,0,6,1948,565,10,0,12,36,0,0,0,0,9,1
AM,BORBA,923,61,0,23,0,60,8,0,1,0,545,213,6,0,0,0,0,0,0,0,5,1
AM,CAAPIRANGA,309,27,0,10,0,36,2,0,0,1,144,75,9,0,0,1,0,0,0,0,4,0
AM,CANUTAMA,256,22,0,6,0,23,2,0,0,0,146,54,1,0,0,0,0,0,0,0,2,0
AM,CARAUARI,2790,93,0,53,0,107,14,0,0,2,1802,698,2,0,0,0,0,0,0,0,15,4
AM,CAREIRO,2711,538,0,105,5,319,146,0,4,59,1197,183,103,0,5,8,0,1,0,0,33,5
AM,CAREIRO DA VARZEA,505,132,0,34,0,62,40,0,3,28,120,31,47,0,0,0,0,0,0,1,7,0
AM,COARI,10714,603,0,140,6,429,58,0,6,8,6666,2724,15,0,1,2,0,0,0,0,44,12
AM,CODAJAS,665,34,0,9,0,47,6,0,1,3,452,107,4,0,0,0,0,0,0,0,0,2
AM,EIRUNEPE,1999,105,0,42,0,91,11,0,0,5,1199,534,8,0,0,0,0,0,0,0,2,2
AM,ENVIRA,497,18,0,18,0,39,5,0,0,0,327,85,5,0,0,0,0,0,0,0,0,0
AM,FONTE BOA,1653,26,0,21,0,58,7,0,1,0,1250,288,0,0,1,0,0,0,0,0,1,0
AM,GUAJARA,377,92,0,16,0,73,5,0,0,0,131,45,11,0,1,1,0,0,0,0,0,2
AM,HUMAITA,8810,1301,0,336,55,674,66,0,9,13,3888,2230,47,0,71,76,0,0,0,1,18,25
AM,IPIXUNA,37,7,0,5,0,11,2,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0
AM,IRANDUBA,7599,1942,0,353,26,815,206,2,21,54,3224,632,153,0,35,92,0,1,0,1,27,15
AM,ITACOATIARA,25088,3390,0,394,35,1056,191,0,22,46,11342,8242,179,0,42,72,0,1,0,0,61,15
AM,ITAMARATI,301,5,0,12,0,15,2,0,0,0,223,44,0,0,0,0,0,0,0,0,0,0
AM,ITAPIRANGA,878,171,0,26,4,119,4,0,1,4,394,131,10,0,0,8,0,0,0,0,6,0
AM,JAPURA,368,8,0,6,0,19,2,0,0,0,261,68,4,0,0,0,0,0,0,0,0,0
AM,JURUA,517,7,0,10,0,26,2,0,0,0,354,113,4,0,0,0,0,0,0,0,1,0
AM,JUTAI,686,10,0,8,0,40,2,0,1,0,521,103,0,0,0,0,0,0,0,0,0,1
